marker,allele,frequency
CSF1PO,7,0.020618556701030927
CSF1PO,9,0.06701030927835051
CSF1PO,10,0.20103092783505155
CSF1PO,11,0.21649484536082475
CSF1PO,12,0.3865979381443299
CSF1PO,13,0.08762886597938144
CSF1PO,14,0.015463917525773196
CSF1PO,15,0.005154639175257732
D10S1248,10,0.005154639175257732
D10S1248,12,0.08762886597938144
D10S1248,13,0.31958762886597936
D10S1248,14,0.25257731958762886
D10S1248,15,0.20618556701030927
D10S1248,16,0.0979381443298969
D10S1248,17,0.030927835051546393
D12S391,15,0.041237113402061855
D12S391,16,0.010309278350515464
D12S391,17,0.08247422680412371
D12S391,18,0.26288659793814434
D12S391,19,0.17525773195876287
D12S391,19.3,0.005154639175257732
D12S391,20,0.1958762886597938
D12S391,21,0.0979381443298969
D12S391,22,0.05670103092783505
D12S391,23,0.02577319587628866
D12S391,24,0.010309278350515464
D12S391,24.3,0.005154639175257732
D12S391,25,0.015463917525773196
D12S391,26,0.010309278350515464
D12S391,27,0.005154639175257732
D13S317,8,0.21649484536082475
D13S317,9,0.14432989690721648
D13S317,10,0.10309278350515463
D13S317,11,0.26804123711340205
D13S317,12,0.211340206185567
D13S317,13,0.05670103092783505
D16S539,9,0.3556701030927835
D16S539,10,0.16494845360824742
D16S539,11,0.19072164948453607
D16S539,12,0.17525773195876287
D16S539,13,0.0979381443298969
D16S539,14,0.015463917525773196
D18S51,12,0.03608247422680412
D18S51,13,0.21649484536082475
D18S51,14,0.23711340206185566
D18S51,15,0.18041237113402062
D18S51,16,0.12886597938144329
D18S51,17,0.06701030927835051
D18S51,18,0.030927835051546393
D18S51,19,0.041237113402061855
D18S51,20,0.02577319587628866
D18S51,21,0.010309278350515464
D18S51,22,0.015463917525773196
D18S51,23,0.005154639175257732
D18S51,28,0.005154639175257732
D19S433,12,0.03608247422680412
D19S433,12.2,0.02577319587628866
D19S433,13,0.28350515463917525
D19S433,13.2,0.020618556701030927
D19S433,14,0.29896907216494845
D19S433,14.2,0.10309278350515463
D19S433,15,0.061855670103092786
D19S433,15.2,0.12371134020618557
D19S433,16,0.010309278350515464
D19S433,16.2,0.030927835051546393
D19S433,17.2,0.005154639175257732
D1S1656,11,0.030927835051546393
D1S1656,12,0.04639175257731959
D1S1656,13,0.13402061855670103
D1S1656,14,0.061855670103092786
D1S1656,15,0.27835051546391754
D1S1656,16,0.20103092783505155
D1S1656,16.3,0.015463917525773196
D1S1656,17,0.07216494845360824
D1S1656,17.3,0.08762886597938144
D1S1656,18,0.015463917525773196
D1S1656,18.3,0.05154639175257732
D1S1656,19.3,0.005154639175257732
D21S11,28,0.05670103092783505
D21S11,28.2,0.005154639175257732
D21S11,29,0.20103092783505155
D21S11,30,0.32989690721649484
D21S11,30.2,0.005154639175257732
D21S11,30.3,0.010309278350515464
D21S11,31,0.12371134020618557
D21S11,31.2,0.03608247422680412
D21S11,32,0.05670103092783505
D21S11,32.2,0.1134020618556701
D21S11,33,0.015463917525773196
D21S11,33.2,0.04639175257731959
D22S1045,11,0.20103092783505155
D22S1045,12,0.005154639175257732
D22S1045,14,0.010309278350515464
D22S1045,15,0.30927835051546393
D22S1045,16,0.2268041237113402
D22S1045,17,0.22164948453608246
D22S1045,18,0.020618556701030927
D22S1045,19,0.005154639175257732
D2S1338,16,0.020618556701030927
D2S1338,17,0.05670103092783505
D2S1338,18,0.13402061855670103
D2S1338,19,0.18041237113402062
D2S1338,20,0.15979381443298968
D2S1338,21,0.015463917525773196
D2S1338,22,0.05154639175257732
D2S1338,23,0.16494845360824742
D2S1338,24,0.12886597938144329
D2S1338,25,0.04639175257731959
D2S1338,26,0.03608247422680412
D2S1338,27,0.005154639175257732
D2S441,8,0.005154639175257732
D2S441,9.1,0.005154639175257732
D2S441,10,0.26804123711340205
D2S441,11,0.35051546391752575
D2S441,11.3,0.030927835051546393
D2S441,12,0.21649484536082475
D2S441,12.3,0.005154639175257732
D2S441,13,0.02577319587628866
D2S441,14,0.08247422680412371
D2S441,15,0.010309278350515464
D3S1358,14,0.02577319587628866
D3S1358,15,0.36597938144329895
D3S1358,16,0.32989690721649484
D3S1358,17,0.20103092783505155
D3S1358,18,0.06701030927835051
D3S1358,19,0.010309278350515464
D5S818,7,0.015463917525773196
D5S818,8,0.005154639175257732
D5S818,9,0.0979381443298969
D5S818,10,0.2268041237113402
D5S818,11,0.27319587628865977
D5S818,12,0.20618556701030927
D5S818,13,0.15979381443298968
D5S818,14,0.015463917525773196
D6S1043,10,0.030927835051546393
D6S1043,11,0.14948453608247422
D6S1043,12,0.12371134020618557
D6S1043,12.3,0.005154639175257732
D6S1043,13,0.12371134020618557
D6S1043,14,0.15463917525773196
D6S1043,15,0.03608247422680412
D6S1043,16,0.005154639175257732
D6S1043,17,0.07216494845360824
D6S1043,18,0.15979381443298968
D6S1043,19,0.09278350515463918
D6S1043,20,0.041237113402061855
D6S1043,21,0.005154639175257732
D7S820,7,0.005154639175257732
D7S820,8,0.13402061855670103
D7S820,9,0.04639175257731959
D7S820,10,0.26288659793814434
D7S820,11,0.35051546391752575
D7S820,12,0.17525773195876287
D7S820,13,0.02577319587628866
D8S1179,10,0.12371134020618557
D8S1179,11,0.11855670103092783
D8S1179,12,0.11855670103092783
D8S1179,13,0.20103092783505155
D8S1179,14,0.20103092783505155
D8S1179,15,0.12886597938144329
D8S1179,16,0.09278350515463918
D8S1179,17,0.010309278350515464
D8S1179,18,0.005154639175257732
F13A01,3.2,0.30927835051546393
F13A01,4,0.12371134020618557
F13A01,5,0.061855670103092786
F13A01,6,0.4896907216494845
F13A01,7,0.015463917525773196
F13B,6,0.015463917525773196
F13B,7,0.005154639175257732
F13B,8,0.04639175257731959
F13B,9,0.1958762886597938
F13B,10,0.7319587628865979
F13B,11,0.005154639175257732
FESFPS,9,0.015463917525773196
FESFPS,10,0.09278350515463918
FESFPS,10.3,0.005154639175257732
FESFPS,11,0.36082474226804123
FESFPS,12,0.30927835051546393
FESFPS,13,0.1958762886597938
FESFPS,14,0.020618556701030927
FGA,17,0.010309278350515464
FGA,18,0.02577319587628866
FGA,19,0.05670103092783505
FGA,20,0.08762886597938144
FGA,21,0.10309278350515463
FGA,22,0.2422680412371134
FGA,23,0.20618556701030927
FGA,24,0.14948453608247422
FGA,24.2,0.005154639175257732
FGA,25,0.07216494845360824
FGA,26,0.030927835051546393
FGA,27,0.005154639175257732
FGA,43.2,0.005154639175257732
LPL,7,0.005154639175257732
LPL,9,0.005154639175257732
LPL,10,0.6443298969072165
LPL,11,0.11855670103092783
LPL,12,0.211340206185567
LPL,13,0.015463917525773196
Penta_C,5,0.02577319587628866
Penta_C,7,0.005154639175257732
Penta_C,8,0.06701030927835051
Penta_C,9,0.3556701030927835
Penta_C,10,0.06701030927835051
Penta_C,11,0.31443298969072164
Penta_C,12,0.14432989690721648
Penta_C,13,0.015463917525773196
Penta_C,14,0.005154639175257732
Penta_D,6,0.010309278350515464
Penta_D,8,0.005154639175257732
Penta_D,9,0.31443298969072164
Penta_D,10,0.18556701030927836
Penta_D,11,0.18041237113402062
Penta_D,12,0.18041237113402062
Penta_D,13,0.10309278350515463
Penta_D,14,0.010309278350515464
Penta_D,15,0.010309278350515464
Penta_E,5,0.07216494845360824
Penta_E,8,0.005154639175257732
Penta_E,9,0.02577319587628866
Penta_E,10,0.061855670103092786
Penta_E,11,0.15979381443298968
Penta_E,12,0.09278350515463918
Penta_E,13,0.05154639175257732
Penta_E,14,0.05154639175257732
Penta_E,15,0.1134020618556701
Penta_E,16,0.05670103092783505
