marker,allele,frequency
CSF1PO,8,0.00554016620498615
CSF1PO,9,0.013850415512465374
CSF1PO,10,0.22022160664819945
CSF1PO,11,0.30886426592797783
CSF1PO,12,0.3601108033240997
CSF1PO,13,0.0817174515235457
CSF1PO,14,0.009695290858725761
D10S1248,11,0.0013850415512465374
D10S1248,12,0.03185595567867036
D10S1248,13,0.3074792243767313
D10S1248,14,0.29778393351800553
D10S1248,15,0.19667590027700832
D10S1248,16,0.1329639889196676
D10S1248,17,0.027700831024930747
D10S1248,18,0.0013850415512465374
D10S1248,19,0.002770083102493075
D12S391,15,0.03185595567867036
D12S391,16,0.0221606648199446
D12S391,17,0.12742382271468145
D12S391,17.3,0.02077562326869806
D12S391,18,0.17174515235457063
D12S391,18.3,0.024930747922437674
D12S391,19,0.12465373961218837
D12S391,19.3,0.004155124653739612
D12S391,20,0.11080332409972299
D12S391,21,0.12880886426592797
D12S391,22,0.09556786703601108
D12S391,23,0.06925207756232687
D12S391,24,0.04709141274238227
D12S391,25,0.01662049861495845
D12S391,26,0.002770083102493075
D12S391,27,0.0013850415512465374
D13S317,8,0.12049861495844875
D13S317,9,0.07756232686980609
D13S317,10,0.04709141274238227
D13S317,11,0.3254847645429363
D13S317,12,0.26869806094182824
D13S317,13,0.11634349030470914
D13S317,14,0.04293628808864266
D13S317,15,0.0013850415512465374
D16S539,8,0.018005540166204988
D16S539,9,0.10664819944598337
D16S539,10,0.05678670360110803
D16S539,11,0.314404432132964
D16S539,12,0.314404432132964
D16S539,13,0.1634349030470914
D16S539,14,0.02631578947368421
D18S51,10,0.008310249307479225
D18S51,11,0.009695290858725761
D18S51,12,0.11357340720221606
D18S51,13,0.12326869806094183
D18S51,14,0.13434903047091412
D18S51,14.2,0.0013850415512465374
D18S51,15,0.1703601108033241
D18S51,16,0.14681440443213298
D18S51,16.2,0.0013850415512465374
D18S51,17,0.13850415512465375
D18S51,18,0.07756232686980609
D18S51,19,0.04016620498614958
D18S51,20,0.018005540166204988
D18S51,21,0.009695290858725761
D18S51,22,0.006925207756232687
D19S433,10,0.0013850415512465374
D19S433,11,0.00554016620498615
D19S433,12,0.07063711911357341
D19S433,12.2,0.0013850415512465374
D19S433,13,0.2548476454293629
D19S433,13.2,0.006925207756232687
D19S433,14,0.36149584487534625
D19S433,14.2,0.023545706371191136
D19S433,15,0.15650969529085873
D19S433,15.2,0.036011080332409975
D19S433,16,0.05678670360110803
D19S433,16.2,0.015235457063711912
D19S433,17,0.006925207756232687
D19S433,17.2,0.0013850415512465374
D19S433,18.2,0.0013850415512465374
D1S1656,10,0.002770083102493075
D1S1656,11,0.07756232686980609
D1S1656,12,0.11634349030470914
D1S1656,13,0.0664819944598338
D1S1656,14,0.07894736842105263
D1S1656,14.3,0.002770083102493075
D1S1656,15,0.14958448753462603
D1S1656,15.3,0.05817174515235457
D1S1656,16,0.13573407202216067
D1S1656,16.3,0.060941828254847646
D1S1656,17,0.04709141274238227
D1S1656,17.3,0.1329639889196676
D1S1656,18,0.00554016620498615
D1S1656,18.3,0.04986149584487535
D1S1656,19.3,0.015235457063711912
D21S11,25.2,0.0013850415512465374
D21S11,27,0.0221606648199446
D21S11,28,0.1592797783933518
D21S11,29,0.20221606648199447
D21S11,29.2,0.002770083102493075
D21S11,30,0.28254847645429365
D21S11,30.2,0.029085872576177285
D21S11,31,0.07202216066481995
D21S11,31.2,0.09833795013850416
D21S11,32,0.00554016620498615
D21S11,32.2,0.09002770083102493
D21S11,33,0.0013850415512465374
D21S11,33.2,0.02631578947368421
D21S11,34.2,0.004155124653739612
D21S11,35,0.0013850415512465374
D21S11,36,0.0013850415512465374
D22S1045,11,0.13988919667590027
D22S1045,12,0.012465373961218837
D22S1045,13,0.006925207756232687
D22S1045,14,0.05678670360110803
D22S1045,15,0.32132963988919666
D22S1045,16,0.38227146814404434
D22S1045,17,0.07479224376731301
D22S1045,18,0.00554016620498615
D2S1338,15,0.0013850415512465374
D2S1338,16,0.037396121883656507
D2S1338,17,0.18559556786703602
D2S1338,18,0.07340720221606649
D2S1338,19,0.12049861495844875
D2S1338,20,0.15650969529085873
D2S1338,21,0.037396121883656507
D2S1338,22,0.03462603878116344
D2S1338,23,0.10526315789473684
D2S1338,24,0.1149584487534626
D2S1338,25,0.10249307479224377
D2S1338,26,0.030470914127423823
D2S441,9,0.0013850415512465374
D2S441,9.1,0.0013850415512465374
D2S441,10,0.21052631578947367
D2S441,11,0.34349030470914127
D2S441,11.3,0.060941828254847646
D2S441,12,0.04709141274238227
D2S441,12.3,0.004155124653739612
D2S441,13,0.029085872576177285
D2S441,14,0.2409972299168975
D2S441,15,0.05955678670360111
D2S441,16,0.0013850415512465374
D3S1358,11,0.0013850415512465374
D3S1358,13,0.0013850415512465374
D3S1358,14,0.10664819944598337
D3S1358,15,0.27285318559556787
D3S1358,16,0.23822714681440443
D3S1358,17,0.21052631578947367
D3S1358,18,0.15096952908587258
D3S1358,19,0.01662049861495845
D3S1358,20,0.0013850415512465374
D5S818,7,0.002770083102493075
D5S818,8,0.00554016620498615
D5S818,9,0.04155124653739612
D5S818,10,0.055401662049861494
D5S818,11,0.3559556786703601
D5S818,12,0.3878116343490305
D5S818,13,0.14265927977839335
D5S818,14,0.006925207756232687
D5S818,15,0.0013850415512465374
D6S1043,8,0.0013850415512465374
D6S1043,10,0.01662049861495845
D6S1043,11,0.296398891966759
D6S1043,12,0.23545706371191136
D6S1043,13,0.08725761772853186
D6S1043,14,0.055401662049861494
D6S1043,15,0.012465373961218837
D6S1043,16,0.004155124653739612
D6S1043,17,0.060941828254847646
D6S1043,18,0.0886426592797784
D6S1043,19,0.09833795013850416
D6S1043,20,0.03185595567867036
D6S1043,21,0.009695290858725761
D6S1043,22,0.0013850415512465374
D7S820,7,0.027700831024930747
D7S820,8,0.1440443213296399
D7S820,8.1,0.0013850415512465374
D7S820,9,0.16759002770083103
D7S820,10,0.2562326869806094
D7S820,11,0.20498614958448755
D7S820,12,0.1592797783933518
D7S820,13,0.03462603878116344
D7S820,14,0.004155124653739612
D8S1179,8,0.013850415512465374
D8S1179,9,0.00554016620498615
D8S1179,10,0.10249307479224377
D8S1179,11,0.07617728531855955
D8S1179,12,0.16759002770083103
D8S1179,13,0.3296398891966759
D8S1179,14,0.16620498614958448
D8S1179,15,0.1038781163434903
D8S1179,16,0.0332409972299169
D8S1179,17,0.0013850415512465374
F13A01,3.2,0.06371191135734072
F13A01,4,0.02631578947368421
F13A01,5,0.19390581717451524
F13A01,6,0.3490304709141274
F13A01,7,0.3157894736842105
F13A01,8,0.004155124653739612
F13A01,10,0.0013850415512465374
F13A01,12,0.0013850415512465374
F13A01,13,0.0013850415512465374
F13A01,14,0.0110803324099723
F13A01,15,0.024930747922437674
F13A01,16,0.006925207756232687
F13B,6,0.09556786703601108
F13B,7,0.01662049861495845
F13B,8,0.24653739612188366
F13B,9,0.24653739612188366
F13B,10,0.389196675900277
F13B,11,0.00554016620498615
FESFPS,5,0.0013850415512465374
FESFPS,8,0.024930747922437674
FESFPS,10,0.28254847645429365
FESFPS,11,0.4113573407202216
FESFPS,12,0.23545706371191136
FESFPS,13,0.04293628808864266
FESFPS,14,0.0013850415512465374
FGA,18,0.024930747922437674
FGA,19,0.04986149584487535
FGA,20,0.12326869806094183
FGA,21,0.1786703601108033
FGA,21.2,0.00554016620498615
FGA,22,0.20498614958448755
FGA,22.2,0.012465373961218837
FGA,23,0.1523545706371191
FGA,23.2,0.002770083102493075
FGA,24,0.13434903047091412
FGA,24.2,0.0013850415512465374
FGA,25,0.07894736842105263
FGA,26,0.02631578947368421
FGA,27,0.004155124653739612
LPL,7,0.0013850415512465374
LPL,9,0.038781163434903045
LPL,10,0.4224376731301939
LPL,11,0.26454293628808867
LPL,12,0.23268698060941828
LPL,13,0.03462603878116344
LPL,14,0.004155124653739612
LPL,15,0.0013850415512465374
Penta_C,5,0.008310249307479225
Penta_C,7,0.002770083102493075
Penta_C,8,0.00554016620498615
Penta_C,9,0.14958448753462603
Penta_C,10,0.0664819944598338
Penta_C,11,0.39473684210526316
Penta_C,12,0.21052631578947367
Penta_C,13,0.14265927977839335
Penta_C,14,0.018005540166204988
Penta_C,15,0.0013850415512465374
Penta_D,2.2,0.004155124653739612
Penta_D,6,0.004155124653739612
Penta_D,7,0.004155124653739612
Penta_D,8,0.02077562326869806
Penta_D,9,0.22160664819944598
Penta_D,10,0.1149584487534626
Penta_D,11,0.1260387811634349
Penta_D,12,0.23268698060941828
Penta_D,13,0.19667590027700832
Penta_D,14,0.060941828254847646
Penta_D,15,0.009695290858725761
Penta_D,16,0.002770083102493075
Penta_D,17,0.0013850415512465374
Penta_E,5,0.07617728531855955
Penta_E,7,0.16897506925207756
Penta_E,8,0.013850415512465374
Penta_E,9,0.012465373961218837
Penta_E,10,0.08587257617728532
Penta_E,11,0.08725761772853186
Penta_E,12,0.1994459833795014
Penta_E,13,0.08587257617728532
Penta_E,14,0.062326869806094184
Penta_E,15,0.04293628808864266
Penta_E,15.4,0.0013850415512465374
Penta_E,16,0.05124653739612189
Penta_E,17,0.04847645429362881
Penta_E,18,0.0332409972299169
Penta_E,19,0.015235457063711912
Penta_E,20,0.009695290858725761
Penta_E,21,0.002770083102493075
Penta_E,22,0.0013850415512465374
Penta_E,24,0.0013850415512465374
SE33,11,0.0013850415512465374
SE33,12,0.006925207756232687
SE33,13,0.01662049861495845
SE33,14,0.024930747922437674
SE33,14.2,0.002770083102493075
SE33,15,0.04016620498614958
SE33,16,0.04016620498614958
SE33,16.2,0.0013850415512465374
SE33,17,0.062326869806094184
SE33,17.3,0.0013850415512465374
SE33,18,0.07202216066481995
SE33,18.3,0.0013850415512465374
SE33,19,0.07202216066481995
SE33,19.2,0.004155124653739612
SE33,20,0.05817174515235457
SE33,20.2,0.009695290858725761
SE33,21,0.024930747922437674
SE33,21.2,0.023545706371191136
SE33,22,0.013850415512465374
SE33,22.2,0.037396121883656507
SE33,23,0.002770083102493075
SE33,23.2,0.036011080332409975
SE33,24,0.0013850415512465374
SE33,24.2,0.0221606648199446
SE33,25.2,0.04155124653739612
SE33,26.2,0.04155124653739612
SE33,27.2,0.09418282548476455
SE33,28.2,0.07617728531855955
SE33,28.3,0.0013850415512465374
SE33,29.2,0.055401662049861494
SE33,30.2,0.05678670360110803
SE33,31,0.002770083102493075
SE33,31.2,0.023545706371191136
SE33,32,0.0013850415512465374
SE33,32.2,0.012465373961218837
SE33,33,0.0013850415512465374
SE33,33.2,0.004155124653739612
SE33,34,0.008310249307479225
SE33,34.2,0.0013850415512465374
TH01,5,0.0013850415512465374
TH01,6,0.23545706371191136
TH01,7,0.19390581717451524
TH01,8,0.09556786703601108
TH01,9,0.11911357340720222
TH01,9.3,0.3448753462603878
TH01,10,0.008310249307479225
TH01,11,0.0013850415512465374
TPOX,5,0.0013850415512465374
TPOX,6,0.0013850415512465374
TPOX,8,0.5249307479224377
TPOX,9,0.12742382271468145
TPOX,10,0.04986149584487535
TPOX,11,0.2520775623268698
TPOX,12,0.04155124653739612
TPOX,13,0.0013850415512465374
vWA,12,0.0013850415512465374
vWA,13,0.0013850415512465374
vWA,14,0.09279778393351801
vWA,15,0.10526315789473684
vWA,16,0.20083102493074792
vWA,17,0.2839335180055402
vWA,18,0.20221606648199447
vWA,19,0.1038781163434903
vWA,20,0.006925207756232687
vWA,21,0.0013850415512465374
