population,n,marker,Hobs,PI,PPE,HWE
Combined,1036,CSF1PO,0.7557915057915058,0.10541360444835347,0.518508654342867,0.443125
Combined,1036,D10S1248,0.7818532818532818,0.08449486441764431,0.569892038286978,0.514375
Combined,1036,D12S391,0.8812741312741312,0.02710529061880412,0.7596560918791317,0.18625
Combined,1036,D13S317,0.7673745173745173,0.07679335430300682,0.5923239897849405,0
Combined,1036,D16S539,0.7760617760617761,0.0749262086134673,0.5917475312806945,0.070938
Combined,1036,D18S51,0.8687258687258688,0.02576176562663049,0.7623969298943786,0.752188
Combined,1036,D19S433,0.8117760617760618,0.05593424367555642,0.6509138515510187,0.155625
Combined,1036,D1S1656,0.8889961389961389,0.02242251904414067,0.7836298482855354,0.128125
Combined,1036,D21S11,0.833011583011583,0.040302022927505524,0.6966397758456615,0.506563
Combined,1036,D22S1045,0.7606177606177607,0.09213860854787496,0.5614038885379028,0.018437
Combined,1036,D2S1338,0.8793436293436293,0.02201070347788495,0.7816126658169904,0.207813
Combined,1036,D2S441,0.7828185328185329,0.08411659039072167,0.5739300733546279,0.38125
Combined,1036,D3S1358,0.7519305019305019,0.0915013193005471,0.5480332391674794,0.667813
Combined,1036,D5S818,0.7306949806949807,0.11042433774094006,0.5146158286449609,0.327188
Combined,1036,D6S1043,0.8513513513513513,0.0320079456179842,0.7352089879961817,0.29125
Combined,1036,D7S820,0.7953667953667953,0.07265097419537574,0.6003558599972285,0.424063
Combined,1036,D8S1179,0.7992277992277992,0.05577957991085404,0.6469913088110523,0.065625
Combined,1036,F13A01,0.7799227799227799,0.06755825047330836,0.6084842739944782,0.000625
Combined,1036,F13B,0.694015444015444,0.09716238577242436,0.5377259011114179,0
Combined,1036,FESFPS,0.721042471042471,0.1130256704581029,0.5038512839873475,0.2675
Combined,1036,FGA,0.8745173745173745,0.03078740627003175,0.7422850584933129,0.45875
Combined,1036,LPL,0.7036679536679536,0.1333667506447429,0.47313184415823994,0.075
Combined,1036,Penta_C,0.7760617760617761,0.0769796961881904,0.592263806485377,0.0075
Combined,1036,Penta_D,0.8531400966183575,0.038112441363859134,0.7144253556287519,0.004687
Combined,1036,Penta_E,0.8996138996138996,0.01464460875657787,0.8271662120316863,0.22
Combined,1036,SE33,0.9353281853281853,0.006605819829758076,0.8881442166016607,0.51625
Combined,1036,TH01,0.747104247104247,0.07656788062193466,0.5804438778530979,0
Combined,1036,TPOX,0.6898550724637681,0.13553175103269627,0.470018130873283,0.044375
Combined,1036,vWA,0.805984555984556,0.06110336757054902,0.6281137062899846,0.764375
AfAm,342,CSF1PO,0.7894736842105263,0.08269211039294141,0.5723922635797035,0.973437
AfAm,342,D10S1248,0.8216374269005848,0.06932047467596865,0.6137770973693314,0.547813
AfAm,342,D12S391,0.8625730994152047,0.03727642693478337,0.7214266238148797,0.230625
AfAm,342,D13S317,0.7046783625730995,0.13417803768680958,0.4686638313440013,0.44125
AfAm,342,D16S539,0.7894736842105263,0.07328750726719331,0.6018325108387057,0.0875
AfAm,342,D18S51,0.8538011695906433,0.02799151875790842,0.7555427274433018,0.826562
AfAm,342,D19S433,0.8888888888888888,0.04013200642932871,0.7167411623751908,0.437188
AfAm,342,D1S1656,0.8713450292397661,0.03382237269587224,0.7356268890035886,0.10125
AfAm,342,D21S11,0.8391812865497076,0.04350056427618759,0.7027962745771893,0.2025
AfAm,342,D22S1045,0.804093567251462,0.055230669265756975,0.6523652240923505,0.27375
AfAm,342,D2S1338,0.9005847953216375,0.022895933791593985,0.7831511993555339,0.933125
AfAm,342,D2S441,0.7894736842105263,0.10509216511063235,0.5470519295785038,0.051875
AfAm,342,D3S1358,0.7631578947368421,0.10902499914503606,0.5158086919369266,0.909687
AfAm,342,D5S818,0.7280701754385965,0.09743168838275025,0.5310488368898895,0.642813
AfAm,342,D6S1043,0.8859649122807017,0.02961595020690128,0.7554235567641538,0.44375
AfAm,342,D7S820,0.7719298245614035,0.08886494989911425,0.5615337620844407,0.564375
AfAm,342,D8S1179,0.7953216374269005,0.0660203139427516,0.6185900914289811,0.6175
AfAm,342,F13A01,0.8216374269005848,0.06367771280051986,0.6334124775276174,0.314063
AfAm,342,F13B,0.7719298245614035,0.096816114359974,0.542367000550125,0.919687
AfAm,342,FESFPS,0.7690058479532164,0.08465852741014329,0.5704843366256971,0.675
AfAm,342,FGA,0.8771929824561404,0.03175336000820767,0.7457326728761031,0.3225
AfAm,342,LPL,0.7573099415204678,0.10281796108204232,0.5347130531413886,0.514062
AfAm,342,Penta_C,0.8128654970760234,0.06518244930063952,0.636796821564832,0.380312
AfAm,342,Penta_D,0.868421052631579,0.026777469990766387,0.7607413143010336,0.399375
AfAm,342,Penta_E,0.9035087719298246,0.020006155740227766,0.8069482513463749,0.397188
AfAm,342,SE33,0.9269005847953217,0.010772545398584172,0.8606238627705404,0.932187
AfAm,342,TH01,0.7631578947368421,0.10504086727540096,0.5258965685309256,0.774062
AfAm,342,TPOX,0.7595307917888563,0.08788194115977677,0.5543238043237718,0.847187
AfAm,342,vWA,0.8157894736842105,0.06234396908450463,0.6282556525851787,0.787188
Cauc,361,CSF1PO,0.7340720221606648,0.12850576653033666,0.47084105350793914,0.870625
Cauc,361,D10S1248,0.7645429362880887,0.0988559019651476,0.5345879616624072,0.652188
Cauc,361,D12S391,0.8975069252077562,0.02365697009691453,0.779395968222217,0.885938
Cauc,361,D13S317,0.7617728531855956,0.07767742727572684,0.5877370583486805,0.102813
Cauc,361,D16S539,0.7645429362880887,0.09825737985435962,0.5435567952474154,0.164687
Cauc,361,D18S51,0.8559556786703602,0.030516954289792127,0.7480629330470023,0.19875
Cauc,361,D19S433,0.7673130193905817,0.08378542214992209,0.5698275123845954,0.96625
Cauc,361,D1S1656,0.925207756232687,0.021063374283499966,0.7957349795925132,0.877188
Cauc,361,D21S11,0.8227146814404432,0.051204333913950954,0.6660516505658487,0.607187
Cauc,361,D22S1045,0.7534626038781164,0.12390175029350604,0.4887872162251298,0.979688
Cauc,361,D2S1338,0.8698060941828255,0.027616424060588857,0.7605585706487648,0.509687
Cauc,361,D2S441,0.7867036011080333,0.08840478510754213,0.5616201230919033,0.7125
Cauc,361,D3S1358,0.7562326869806094,0.07575908717704744,0.584229353387164,0.380312
Cauc,361,D5S818,0.706371191135734,0.14862531748528637,0.4503043855169339,0.757812
Cauc,361,D6S1043,0.7977839335180055,0.051311760959477024,0.6609328242520011,0.027187
Cauc,361,D7S820,0.8310249307479225,0.06277576138918516,0.6330245504594267,0.505
Cauc,361,D8S1179,0.7839335180055402,0.061701490933924706,0.6302073287431247,0.8675
Cauc,361,F13A01,0.7590027700831025,0.11645859071062993,0.5034726133749531,0.88125
Cauc,361,F13B,0.7008310249307479,0.12882804766691477,0.4699179591757767,0.83125
Cauc,361,FESFPS,0.6731301939058172,0.14454308975529656,0.4331912696345007,0.856563
