marker,allele,frequency
D1S1656,8,9.33445e-05
D1S1656,9,9.33445e-05
D1S1656,10,0.00214692
D1S1656,11,0.0827033
D1S1656,12,0.128162
D1S1656,13,0.0663213
D1S1656,13.3,0.000140017
D1S1656,14,0.0862037
D1S1656,14.3,0.00256697
D1S1656,15,0.136796
D1S1656,15.3,0.0649678
D1S1656,16,0.121721
D1S1656,16.1,0.000140017
D1S1656,16.3,0.0518529
D1S1656,17,0.0498927
D1S1656,17.1,0.000326706
D1S1656,17.3,0.133763
D1S1656,18,0.00424718
D1S1656,18.3,0.0561001
D1S1656,19,0.000233361
D1S1656,19.3,0.0108746
D1S1656,20.3,0.000653412
D2S1338,12,9.33794e-05
D2S1338,13,0.000186759
D2S1338,14,0.000186759
D2S1338,15,0.000747035
D2S1338,16,0.0440751
D2S1338,17,0.220702
D2S1338,18,0.0832477
D2S1338,19,0.110655
D2S1338,20,0.144598
D2S1338,21,0.0306751
D2S1338,22,0.0284807
D2S1338,23,0.103371
D2S1338,24,0.10818
D2S1338,25,0.102671
D2S1338,26,0.0197497
D2S1338,27,0.00196097
D2S1338,28,0.000373518
D2S1338,29,4.66897e-05
D2S441,8,0.000886773
D2S441,9,0.00140017
D2S441,10,0.186362
D2S441,10.3,9.33445e-05
D2S441,11,0.336834
D2S441,11.3,0.0594138
D2S441,12,0.0409783
D2S441,12.3,0.00158686
D2S441,13,0.0289368
D2S441,13.3,0.000373378
D2S441,14,0.294362
D2S441,14.1,4.66723e-05
D2S441,14.3,4.66723e-05
D2S441,15,0.0445253
D2S441,15.3,4.66723e-05
D2S441,16,0.00406049
D2S441,17,4.66723e-05
D3S1358,10,0.000140043
D3S1358,11,0.00140043
D3S1358,12,0.000420129
D3S1358,13,0.00317431
D3S1358,14,0.111007
D3S1358,15,0.254085
D3S1358,16,0.248716
D3S1358,17,0.212352
D3S1358,17.1,4.6681e-05
D3S1358,18,0.155448
D3S1358,19,0.0122304
D3S1358,20,0.000980301
D3S1744,12,0.001
D3S1744,13,0.008
D3S1744,14,0.117
D3S1744,15,0.079
D3S1744,16,0.133
D3S1744,17,0.34
D3S1744,18,0.167
D3S1744,19,0.096
D3S1744,20,0.045
D3S1744,21,0.012
D3S1744,22,0.002
D4S2366,9,0.299
D4S2366,10,0.107
D4S2366,11,0.172
D4S2366,12,0.243
D4S2366,13,0.106
D4S2366,14,0.066
D4S2366,15,0.005
D4S2366,16,0.002
D5S818,7,0.00116086
D5S818,8,0.00364842
D5S818,9,0.0380597
D5S818,10,0.0620232
D5S818,11,0.339386
D5S818,12,0.3733
D5S818,13,0.170398
D5S818,14,0.0107794
D5S818,15,0.00116086
D5S818,16,8.29187e-05
D6S474,9,0.001
D6S474,12,0.002
D6S474,13,0.345
D6S474,14,0.244
D6S474,15,0.214
D6S474,16,0.143
D6S474,17,0.039
D6S474,18,0.012
D7S820,6,8.29187e-05
D7S820,6.3,8.29187e-05
D7S820,7,0.019403
D7S820,8,0.1699
D7S820,9,0.159287
D7S820,9.1,8.29187e-05
D7S820,10,0.266335
D7S820,10.3,8.29187e-05
D7S820,11,0.204395
D7S820,11.3,8.29187e-05
D7S820,12,0.138474
D7S820,13,0.0353234
D7S820,14,0.00621891
D7S820,15,0.000248756
D8S1132,13.1,0.001
D8S1132,15,0.003
D8S1132,16,0.016
D8S1132,17,0.138
D8S1132,18,0.211
D8S1132,19,0.2
D8S1132,20,0.124
D8S1132,21,0.105
D8S1132,22,0.106
D8S1132,23,0.069
D8S1132,24,0.023
D8S1132,25,0.004
D8S1179,8,0.0159167
D8S1179,9,0.0129294
D8S1179,10,0.0781367
D8S1179,11,0.0784167
D8S1179,12,0.14129
D8S1179,12.1,4.66766e-05
D8S1179,13,0.324683
D8S1179,14,0.212145
D8S1179,15,0.106143
D8S1179,16,0.0263723
D8S1179,17,0.00350075
D8S1179,18,0.00042009
D10S1248,7,4.66766e-05
D10S1248,8,9.33532e-05
D10S1248,9,0.000186706
D10S1248,10,0.000233383
D10S1248,11,0.00275392
D10S1248,12,0.0302931
D10S1248,13,0.281693
D10S1248,14,0.311706
D10S1248,15,0.205471
D10S1248,16,0.133075
D10S1248,17,0.0316468
D10S1248,18,0.00252054
D10S1248,19,0.00028006
D12S391,14,0.000233361
D12S391,15,0.0412116
D12S391,16,0.0297302
D12S391,16.3,0.000140017
D12S391,17,0.102726
D12S391,17.3,0.0191356
D12S391,18,0.183562
D12S391,18.2,4.66723e-05
D12S391,18.3,0.0210959
D12S391,19,0.11206
D12S391,19.2,9.33445e-05
D12S391,19.3,0.0105946
D12S391,20,0.118968
D12S391,20.2,9.33445e-05
D12S391,20.3,0.00154018
D12S391,21,0.117754
D12S391,21.3,0.000280034
D12S391,22,0.106506
D12S391,22.3,0.000186689
D12S391,23,0.0834967
D12S391,24,0.0328106
D12S391,25,0.013675
D12S391,26,0.00308037
D12S391,27,0.000793429
D12S391,28,0.000140017
D12S391,29,4.66723e-05
D13S317,6,8.29187e-05
D13S317,7,0.00066335
D13S317,8,0.119735
D13S317,9,0.0790216
D13S317,10,0.0626036
