D1S1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Africa,America,Asia,Europe,AUSTRIA,BELGIUM,BOSNIA AND HERZEGOWINA,CROATIA,CZECH REPUBLIC,DENMARK,DOMINICAN REPUBLIC,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,KENYA,MONTENEGRO,NETHERLANDS,NORWAY,POLAND,SAUDI ARABIA,SLOVAKIA,SLOVENIA,SOUTH AFRICA,SPAIN,SWEDEN,SWITZERLAND,THAILAND,VIETNAM
,17479,1243,1000,4523,10713,222,206,171,500,200,200,1000,230,208,785,208,224,304,929,510,200,2084,202,206,523,247,907,733,455,425,1600,3000,1000
8,"0,00105841","0,00321802",,"0,00298474","0,0000933445","0,00225225",,,,,,,,,,,,,,,,,,,"0,000956023",,"0,000551268","0,00545703",,,,"0,00416667","0,0005"
9,"0,000343269","0,000402253",,"0,000994915","0,0000933445",,,,"0,001",,,,,,,,,,,,,,,,,,,"0,000682128","0,0010989",,,"0,00116667","0,001"
10,"0,00317524","0,00482703","0,01","0,00364802","0,00214692",,,,"0,006",,,"0,01","0,00217391",,"0,00127389","0,00480769","0,00223214",,"0,00215285","0,00294118","0,0025","0,00167946",,,"0,00191205","0,00607287","0,00385888","0,00613915","0,0021978","0,00705882","0,00125","0,00383333","0,004"
11,"0,0768351","0,0675784","0,0585","0,0695335","0,0827033","0,0878378","0,0898058","0,119883","0,092","0,0925","0,1","0,0585","0,113043","0,0697115","0,105096","0,115385","0,100446","0,0822368","0,0769645","0,0470588","0,1025","0,074856","0,0544554","0,0849515","0,042065","0,0870445","0,0931643","0,0818554","0,0538462","0,0764706","0,068125","0,0711667","0,079"
12,"0,101722","0,07321","0,099","0,0475348","0,128162","0,114865","0,123786","0,160819","0,142","0,165","0,095","0,099","0,141304","0,137019","0,108917","0,108173","0,125","0,120066","0,133477","0,0617647","0,1225","0,1238","0,121287","0,092233","0,130975","0,149798","0,143881","0,0811733","0,146154","0,132941","0,123438","0,034","0,0445"
13,"0,0780937","0,0937249","0,0885","0,0993809","0,0663213","0,0585586","0,0364078","0,0467836","0,067","0,0775","0,06","0,0885","0,0391304","0,0961538","0,0738854","0,0961538","0,0625","0,0575658","0,0796555","0,114706","0,0875","0,0573417","0,0470297","0,0752427","0,0994264","0,117409","0,070011","0,0791269","0,0637363","0,0517647","0,064375","0,103833","0,086"
"13,3","0,000143029","0,000804505",,,"0,000140017","0,00225225","0,00242718",,"0,001",,,,,,,,,,,,,,,,,,,"0,00136426",,,,,
14,"0,103553","0,18745","0,1915","0,102145","0,0862037","0,0968468","0,0849515","0,0906433","0,087","0,0675","0,0675","0,1915","0,147826","0,0745192","0,0878981","0,0649038","0,0915179","0,0740132","0,0936491","0,215686","0,0925","0,087572","0,0965347","0,0800971","0,125239","0,0647773","0,0898567","0,167804","0,0989011","0,08","0,076875","0,105","0,0815"
"14,3","0,00317524","0,0168946","0,007",,"0,00256697",,"0,00242718",,,"0,0025",,"0,007",,"0,00240385","0,00318471",,"0,00446429","0,0115132","0,00107643","0,0186275",,"0,00167946",,"0,00485437",,"0,00202429","0,00330761","0,0156889","0,0010989","0,00117647","0,005625",,
15,"0,173122","0,181416","0,143","0,263542","0,136796","0,13964","0,140777","0,154971","0,15","0,1275","0,125","0,143","0,141304","0,117788","0,13949","0,134615","0,142857","0,144737","0,149085","0,188235","0,13","0,131238","0,128713","0,114078","0,135755","0,121457","0,125689","0,176671","0,169231","0,102353","0,144375","0,275333","0,295"
"15,2","0,0000572115","0,000402253","0,0005",,,,,,,,,"0,0005",,,,,,,,,,,,,,,,"0,000682128",,,,,
"15,3","0,0462269","0,0253419","0,0455","0,00773823","0,0649678","0,0788288","0,0728155","0,0584795","0,06","0,035","0,065","0,0455","0,05","0,0625","0,0656051","0,0432692","0,046875","0,0575658","0,0597417","0,022549","0,0475","0,074856","0,0717822","0,0412621","0,0334608","0,0425101","0,0523705","0,0272851","0,067033","0,0811765","0,0771875","0,0045","0,004"
16,"0,146519","0,1428","0,136","0,2086","0,121721","0,103604","0,13835","0,131579","0,116","0,0975","0,115","0,136","0,0608696","0,137019","0,107643","0,177885","0,109375","0,106908","0,144241","0,148039","0,145","0,118762","0,123762","0,133495","0,251434","0,121457","0,123484","0,139154","0,115385","0,103529","0,129375","0,208333","0,187"
"16,1","0,0000858173",,,,"0,000140017",,,,,,,,,,,,,,,,,"0,000239923",,,,,,,,,"0,000625",,
"16,3","0,0449969","0,0752212","0,0715","0,0145921","0,0518529","0,0495495","0,0558252","0,0175439","0,042","0,0425","0,06","0,0715","0,0391304","0,0552885","0,0522293","0,0600962","0,0290179","0,0608553","0,0527449","0,0960784","0,0575","0,0549424","0,0717822","0,0679612","0,0535373","0,0364372","0,045204","0,0607094","0,056044","0,0588235","0,0534375","0,00866667","0,012"
17,"0,0571257","0,0418343","0,04","0,0822463","0,0498927","0,0495495","0,0533981","0,0497076","0,053","0,06","0,055","0,04","0,0130435","0,0625","0,0503185","0,0336538","0,0513393","0,0542763","0,040366","0,0264706","0,0475","0,0578215","0,0321782","0,0509709","0,0736138","0,0607287","0,0512679","0,0525239","0,0373626","0,0482353","0,0503125","0,0855","0,077"
"17,1","0,00020024",,,,"0,000326706",,,,,,,,,,"0,000636943",,,"0,00164474",,,,"0,00071977",,,,,,,"0,0010989","0,00117647",,,
"17,3","0,105469","0,0518906","0,0815","0,0584789","0,133763","0,153153","0,128641","0,125731","0,119","0,16","0,1775","0,0815","0,156522","0,115385","0,128662","0,09375","0,140625","0,169408","0,104413","0,0362745","0,0925","0,141795","0,163366","0,177184","0,0219885","0,123482","0,13065","0,0627558","0,114286","0,148235","0,135","0,0561667","0,0845"
18,"0,00635048","0,00522928","0,0015","0,0127128","0,00424718","0,0045045","0,00970874",,"0,002","0,005","0,005","0,0015","0,00217391","0,00240385","0,00382166","0,00240385","0,00446429","0,00493421","0,00376749","0,00392157","0,0075","0,00383877","0,0049505","0,00970874","0,00286807","0,00404858","0,00330761","0,00613915","0,0010989","0,00941176","0,005","0,0135","0,0155"
"18,3","0,0423937","0,0209171","0,0225","0,0202299","0,0561001","0,0427928","0,0533981","0,0321637","0,05","0,0575","0,07","0,0225","0,0695652","0,0600962","0,0585987","0,0552885","0,0714286","0,0493421","0,0516685","0,0117647","0,0475","0,0537428","0,0717822","0,0533981","0,0200765","0,0607287","0,0496141","0,0272851","0,0648352","0,0847059","0,054375","0,0201667","0,0205"
19,"0,00094399","0,00120676",,"0,00276365","0,000233361","0,00225225",,,,,,,,,,,,,"0,00107643","0,000980392",,"0,000479846",,,"0,000956023",,,"0,00136426",,,,"0,00216667","0,0055"
"19,3","0,00792379","0,00522928","0,0035","0,00265311","0,0108746","0,0112613","0,00728155","0,0116959","0,012","0,0075","0,005","0,0035","0,0217391","0,00721154","0,011465","0,00961538","0,015625","0,00493421","0,00592034","0,00490196","0,015","0,0136756","0,0123762","0,0145631","0,00573614","0,00202429","0,0137817","0,00545703","0,00659341","0,0129412","0,0096875","0,00233333","0,002"
20,"0,0000572115",,,"0,000221092",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,000166667","0,0005"
"20,3","0,000429086","0,000402253",,,"0,000653412","0,00225225",,,,"0,0025",,,"0,00217391",,"0,00127389",,"0,00223214",,,,"0,0025","0,000959693",,,,,,"0,000682128",,,"0,0009375",,
D2S1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
