marker,allele,frequency
D1S1656,10,0.01
D1S1656,11,0.0585
D1S1656,12,0.099
D1S1656,13,0.0885
D1S1656,14,0.1915
D1S1656,14.3,0.007
D1S1656,15,0.143
D1S1656,15.2,0.0005
D1S1656,15.3,0.0455
D1S1656,16,0.136
D1S1656,16.3,0.0715
D1S1656,17,0.04
D1S1656,17.3,0.0815
D1S1656,18,0.0015
D1S1656,18.3,0.0225
D1S1656,19.3,0.0035
D2S1338,13,0.0005
D2S1338,14,0.0005
D2S1338,15,0.002
D2S1338,16,0.0565
D2S1338,17,0.1795
D2S1338,18,0.0575
D2S1338,19,0.1405
D2S1338,20,0.1025
D2S1338,21,0.09
D2S1338,22,0.077
D2S1338,23,0.1095
D2S1338,23.2,0.002
D2S1338,24,0.0815
D2S1338,25,0.076
D2S1338,26,0.0195
D2S1338,27,0.005
D2S441,9,0.002
D2S441,9.1,0.0005
D2S441,10,0.149
D2S441,11,0.3575
D2S441,11.3,0.0475
D2S441,12,0.109
D2S441,12.3,0.004
D2S441,13,0.0355
D2S441,13.3,0.0025
D2S441,14,0.2555
D2S441,15,0.033
D2S441,16,0.004
D2S1360,18,0.000538213
D2S1360,19,0.00592034
D2S1360,20,0.0764263
D2S1360,21,0.0629709
D2S1360,21.1,0.000538213
D2S1360,22,0.307858
D2S1360,23,0.153929
D2S1360,24,0.0861141
D2S1360,25,0.101184
D2S1360,26,0.0855759
D2S1360,27,0.0678149
D2S1360,28,0.0285253
D2S1360,29,0.0123789
D2S1360,30,0.0080732
D2S1360,31,0.00161464
D2S1360,32,0.000538213
D3S1358,9,0.0025
D3S1358,11,0.0005
D3S1358,12,0.004
D3S1358,13,0.006
D3S1358,14,0.0875
D3S1358,15,0.3005
D3S1358,15.2,0.0005
D3S1358,16,0.288
D3S1358,17,0.2135
D3S1358,17.2,0.0005
D3S1358,18,0.09
D3S1358,19,0.006
D3S1358,20,0.0005
D3S1744,10,0.000235294
D3S1744,12,0.000235294
D3S1744,13,0.00305882
D3S1744,14,0.105882
D3S1744,15,0.0644706
D3S1744,16,0.110588
D3S1744,17,0.307294
D3S1744,18,0.190353
D3S1744,19,0.156235
D3S1744,20,0.0527059
D3S1744,21,0.00776471
D3S1744,22,0.00117647
D4S2366,9,0.308235
D4S2366,10,0.152471
D4S2366,11,0.0776471
D4S2366,11.2,0.000470588
D4S2366,12,0.184706
D4S2366,12.2,0.000705882
D4S2366,13,0.170588
D4S2366,14,0.1
D4S2366,15,0.00517647
D5S818,7,0.0125
D5S818,8,0.028
D5S818,9,0.027
D5S818,10,0.057
D5S818,11,0.2715
D5S818,12,0.362
D5S818,13,0.2225
D5S818,14,0.0135
D5S818,15,0.004
D5S818,16,0.002
D5S2500,9,0.00592034
D5S2500,10,0.101722
D5S2500,11,0.275027
D5S2500,12,0.172228
D5S2500,13,0.050592
