marker,allele,frequency
CSF1PO,7,0.012711864406779662
CSF1PO,8,0.00423728813559322
CSF1PO,9,0.023305084745762712
CSF1PO,10,0.23728813559322035
CSF1PO,11,0.2796610169491525
CSF1PO,12,0.375
CSF1PO,13,0.059322033898305086
CSF1PO,14,0.006355932203389831
CSF1PO,15,0.00211864406779661
D10S1248,11,0.00423728813559322
D10S1248,12,0.0423728813559322
D10S1248,13,0.2733050847457627
D10S1248,14,0.3389830508474576
D10S1248,15,0.211864406779661
D10S1248,16,0.09957627118644068
D10S1248,17,0.025423728813559324
D10S1248,18,0.00211864406779661
D10S1248,19,0.00211864406779661
D12S391,15,0.04449152542372881
D12S391,16,0.0423728813559322
D12S391,17,0.07627118644067797
D12S391,17.3,0.01694915254237288
D12S391,18,0.17796610169491525
D12S391,18.3,0.012711864406779662
D12S391,19,0.1885593220338983
D12S391,19.1,0.00211864406779661
D12S391,19.3,0.006355932203389831
D12S391,20,0.15466101694915255
D12S391,20.3,0.00211864406779661
D12S391,21,0.11228813559322035
D12S391,22,0.06779661016949153
D12S391,22.2,0.00211864406779661
D12S391,23,0.057203389830508475
D12S391,24,0.01694915254237288
D12S391,25,0.006355932203389831
D12S391,26,0.006355932203389831
D12S391,27,0.006355932203389831
D13S317,8,0.11016949152542373
D13S317,9,0.1652542372881356
D13S317,10,0.09957627118644068
D13S317,11,0.21822033898305085
D13S317,12,0.23516949152542374
D13S317,13,0.1059322033898305
D13S317,14,0.0614406779661017
D13S317,15,0.00423728813559322
D16S539,8,0.019067796610169493
D16S539,9,0.13983050847457626
D16S539,10,0.1504237288135593
D16S539,11,0.2648305084745763
D16S539,12,0.2775423728813559
D16S539,13,0.13347457627118645
D16S539,14,0.012711864406779662
D16S539,15,0.00211864406779661
D18S51,10,0.00211864406779661
D18S51,11,0.014830508474576272
D18S51,12,0.11440677966101695
D18S51,13,0.1228813559322034
D18S51,14,0.16101694915254236
D18S51,14.2,0.00211864406779661
D18S51,15,0.15889830508474576
D18S51,16,0.125
D18S51,17,0.125
D18S51,18,0.07838983050847458
D18S51,19,0.046610169491525424
D18S51,20,0.02754237288135593
D18S51,21,0.00847457627118644
D18S51,22,0.01059322033898305
D18S51,24,0.00211864406779661
D19S433,9,0.00211864406779661
D19S433,10,0.00211864406779661
D19S433,11,0.014830508474576272
D19S433,12,0.06567796610169492
D19S433,12.2,0.012711864406779662
D19S433,13,0.22245762711864406
D19S433,13.2,0.04449152542372881
D19S433,14,0.3538135593220339
D19S433,14.2,0.038135593220338986
D19S433,15,0.13559322033898305
D19S433,15.2,0.05508474576271186
D19S433,16,0.025423728813559324
D19S433,16.2,0.02754237288135593
D1S1656,10,0.006355932203389831
D1S1656,11,0.02754237288135593
D1S1656,12,0.08898305084745763
D1S1656,13,0.11440677966101695
D1S1656,14,0.11652542372881355
D1S1656,14.3,0.00423728813559322
D1S1656,15,0.13771186440677965
D1S1656,15.3,0.05084745762711865
D1S1656,16,0.17584745762711865
D1S1656,16.3,0.05084745762711865
D1S1656,17,0.0423728813559322
D1S1656,17.3,0.1483050847457627
D1S1656,18,0.006355932203389831
D1S1656,18.3,0.025423728813559324
D1S1656,19.3,0.00423728813559322
D21S11,24.2,0.00211864406779661
D21S11,26.2,0.00211864406779661
D21S11,27,0.02754237288135593
D21S11,28,0.09957627118644068
D21S11,29,0.2076271186440678
D21S11,29.2,0.00211864406779661
D21S11,30,0.2733050847457627
D21S11,30.2,0.023305084745762712
D21S11,31,0.07627118644067797
D21S11,31.2,0.09957627118644068
D21S11,32,0.01694915254237288
D21S11,32.2,0.1271186440677966
D21S11,33,0.00423728813559322
D21S11,33.1,0.00211864406779661
D21S11,33.2,0.03389830508474576
D21S11,34,0.00211864406779661
D22S1045,10,0.014830508474576272
D22S1045,11,0.0635593220338983
D22S1045,12,0.012711864406779662
D22S1045,13,0.00847457627118644
D22S1045,14,0.02754237288135593
D22S1045,15,0.4258474576271186
D22S1045,16,0.3495762711864407
D22S1045,17,0.09110169491525423
D22S1045,18,0.006355932203389831
D2S1338,16,0.029661016949152543
D2S1338,17,0.1694915254237288
D2S1338,18,0.08050847457627118
D2S1338,19,0.19279661016949154
D2S1338,20,0.1271186440677966
D2S1338,21,0.03177966101694915
D2S1338,22,0.057203389830508475
D2S1338,23,0.13983050847457626
D2S1338,24,0.07627118644067797
D2S1338,25,0.07838983050847458
D2S1338,26,0.01694915254237288
D2S441,10,0.336864406779661
D2S441,11,0.298728813559322
D2S441,11.3,0.04449152542372881
D2S441,12,0.036016949152542374
D2S441,12.3,0.00211864406779661
D2S441,13,0.023305084745762712
D2S441,14,0.2055084745762712
D2S441,15,0.048728813559322036
D2S441,16,0.00211864406779661
D2S441,17,0.00211864406779661
D3S1358,13,0.006355932203389831
D3S1358,14,0.07838983050847458
D3S1358,15,0.3220338983050847
D3S1358,16,0.2796610169491525
D3S1358,17,0.1843220338983051
D3S1358,18,0.1228813559322034
D3S1358,19,0.00423728813559322
D3S1358,20,0.00211864406779661
D5S818,7,0.03389830508474576
D5S818,8,0.00847457627118644
D5S818,9,0.05296610169491525
D5S818,10,0.057203389830508475
