marker,allele,frequency
CSF1PO,7,0.05555555555555555
CSF1PO,8,0.05555555555555555
CSF1PO,9,0.039473684210526314
CSF1PO,10,0.25
CSF1PO,11,0.24853801169590642
CSF1PO,12,0.2953216374269006
CSF1PO,13,0.04678362573099415
CSF1PO,14,0.008771929824561403
D10S1248,8,0.0029239766081871343
D10S1248,9,0.0029239766081871343
D10S1248,10,0.007309941520467836
D10S1248,11,0.03508771929824561
D10S1248,12,0.1301169590643275
D10S1248,13,0.23391812865497075
D10S1248,14,0.27631578947368424
D10S1248,15,0.19736842105263158
D10S1248,16,0.08771929824561403
D10S1248,17,0.024853801169590642
D10S1248,18,0.0014619883040935672
D12S391,14,0.0014619883040935672
D12S391,15,0.07748538011695906
D12S391,16,0.06725146198830409
D12S391,17,0.16666666666666666
D12S391,17.1,0.0043859649122807015
D12S391,17.3,0.0043859649122807015
D12S391,18,0.25292397660818716
D12S391,18.1,0.0014619883040935672
D12S391,18.3,0.0043859649122807015
D12S391,19,0.1476608187134503
D12S391,19.1,0.008771929824561403
D12S391,19.3,0.0043859649122807015
D12S391,20,0.10380116959064327
D12S391,20.1,0.0029239766081871343
D12S391,21,0.06432748538011696
D12S391,22,0.03654970760233918
D12S391,23,0.029239766081871343
D12S391,24,0.013157894736842105
D12S391,25,0.008771929824561403
D13S317,8,0.027777777777777776
D13S317,9,0.033625730994152045
D13S317,10,0.03070175438596491
D13S317,11,0.30994152046783624
D13S317,12,0.41812865497076024
D13S317,13,0.14035087719298245
D13S317,14,0.039473684210526314
D16S539,5,0.0014619883040935672
D16S539,8,0.03216374269005848
D16S539,9,0.1827485380116959
D16S539,10,0.11695906432748537
D16S539,11,0.31432748538011696
D16S539,12,0.2046783625730994
D16S539,13,0.12280701754385964
D16S539,14,0.024853801169590642
D18S51,9,0.0029239766081871343
D18S51,10,0.0043859649122807015
D18S51,11,0.0014619883040935672
D18S51,12,0.07602339181286549
D18S51,13,0.04093567251461988
D18S51,13.2,0.0043859649122807015
D18S51,14,0.07163742690058479
D18S51,15,0.1652046783625731
D18S51,15.2,0.0014619883040935672
D18S51,16,0.17105263157894737
D18S51,17,0.15204678362573099
D18S51,18,0.12134502923976608
D18S51,19,0.09941520467836257
D18S51,20,0.06286549707602339
D18S51,21,0.01023391812865497
D18S51,21.2,0.0014619883040935672
D18S51,22,0.007309941520467836
D18S51,23,0.0043859649122807015
D18S51,24,0.0014619883040935672
D19S433,10,0.01023391812865497
D19S433,11,0.06286549707602339
D19S433,12,0.12280701754385964
D19S433,12.2,0.03654970760233918
D19S433,13,0.24561403508771928
D19S433,13.2,0.05263157894736842
D19S433,14,0.21052631578947367
D19S433,14.2,0.07456140350877193
D19S433,15,0.0804093567251462
D19S433,15.2,0.06140350877192982
D19S433,16,0.0043859649122807015
D19S433,16.2,0.02631578947368421
D19S433,17.2,0.008771929824561403
D19S433,18.2,0.0029239766081871343
D1S1656,10,0.014619883040935672
D1S1656,11,0.04532163742690058
D1S1656,12,0.06432748538011696
D1S1656,13,0.10087719298245613
D1S1656,14,0.2573099415204678
D1S1656,14.3,0.007309941520467836
D1S1656,15,0.15789473684210525
D1S1656,15.3,0.029239766081871343
D1S1656,16,0.10964912280701754
D1S1656,16.3,0.1023391812865497
D1S1656,17,0.027777777777777776
D1S1656,17.3,0.049707602339181284
D1S1656,18,0.0029239766081871343
D1S1656,18.3,0.023391812865497075
D1S1656,19.3,0.007309941520467836
D21S11,26,0.0014619883040935672
D21S11,27,0.07456140350877193
D21S11,28,0.24561403508771928
D21S11,29,0.2046783625730994
D21S11,29.3,0.0014619883040935672
D21S11,30,0.1695906432748538
D21S11,30.2,0.017543859649122806
D21S11,31,0.07894736842105263
D21S11,31.2,0.05116959064327485
D21S11,32,0.008771929824561403
D21S11,32.2,0.06140350877192982
D21S11,33,0.0043859649122807015
D21S11,33.1,0.0029239766081871343
D21S11,33.2,0.03508771929824561
D21S11,34,0.005847953216374269
D21S11,35,0.021929824561403508
D21S11,36,0.008771929824561403
D21S11,37,0.0029239766081871343
D21S11,38,0.0014619883040935672
D21S11,39,0.0014619883040935672
D22S1045,8,0.007309941520467836
D22S1045,10,0.04093567251461988
D22S1045,11,0.14473684210526316
D22S1045,12,0.054093567251461985
D22S1045,13,0.0029239766081871343
D22S1045,14,0.07748538011695906
D22S1045,15,0.25146198830409355
D22S1045,16,0.1915204678362573
D22S1045,17,0.20906432748538012
D22S1045,18,0.014619883040935672
D22S1045,19,0.005847953216374269
D2S1338,15,0.0014619883040935672
D2S1338,16,0.05555555555555555
D2S1338,17,0.10087719298245613
D2S1338,18,0.04239766081871345
D2S1338,19,0.1388888888888889
