marker,allele,frequency
CSF1PO,7,0.023166023166023165
CSF1PO,8,0.021235521235521235
CSF1PO,9,0.02944015444015444
CSF1PO,10,0.23214285714285715
CSF1PO,11,0.27364864864864863
CSF1PO,12,0.34459459459459457
CSF1PO,13,0.06563706563706563
CSF1PO,14,0.00916988416988417
CSF1PO,15,0.0009652509652509653
D10S1248,8,0.0009652509652509653
D10S1248,9,0.0009652509652509653
D10S1248,10,0.0028957528957528956
D10S1248,11,0.013030888030888031
D10S1248,12,0.0719111969111969
D10S1248,13,0.2765444015444015
D10S1248,14,0.29584942084942084
D10S1248,15,0.20125482625482624
D10S1248,16,0.10714285714285714
D10S1248,17,0.026544401544401543
D10S1248,18,0.0014478764478764478
D10S1248,19,0.0014478764478764478
D12S391,14,0.00048262548262548264
D12S391,15,0.05067567567567568
D12S391,16,0.04054054054054054
D12S391,17,0.12451737451737452
D12S391,17.1,0.0014478764478764478
D12S391,17.3,0.012548262548262547
D12S391,18,0.2084942084942085
D12S391,18.1,0.00048262548262548264
D12S391,18.3,0.013030888030888031
D12S391,19,0.15154440154440155
D12S391,19.1,0.0033783783783783786
D12S391,19.3,0.004826254826254826
D12S391,20,0.12644787644787644
D12S391,20.1,0.0009652509652509653
D12S391,20.3,0.00048262548262548264
D12S391,21,0.10086872586872588
D12S391,22,0.06611969111969113
D12S391,22.2,0.00048262548262548264
D12S391,23,0.04922779922779923
D12S391,24,0.02557915057915058
D12S391,24.3,0.00048262548262548264
D12S391,25,0.011583011583011582
D12S391,26,0.0033783783783783786
D12S391,27,0.002413127413127413
D13S317,8,0.09652509652509653
D13S317,9,0.08928571428571429
D13S317,10,0.05888030888030888
D13S317,11,0.2905405405405405
D13S317,12,0.305019305019305
D13S317,13,0.11631274131274132
D13S317,14,0.04198841698841699
D13S317,15,0.0014478764478764478
D16S539,5,0.00048262548262548264
D16S539,8,0.021235521235521235
D16S539,9,0.16264478764478765
D16S539,10,0.10810810810810811
D16S539,11,0.2915057915057915
D16S539,12,0.25675675675675674
D16S539,13,0.13706563706563707
D16S539,14,0.02171814671814672
D16S539,15,0.00048262548262548264
D18S51,9,0.0009652509652509653
D18S51,10,0.004826254826254826
D18S51,11,0.00723938223938224
D18S51,12,0.09411196911196912
D18S51,13,0.10472972972972973
D18S51,13.2,0.0014478764478764478
D18S51,14,0.12934362934362933
D18S51,14.2,0.0009652509652509653
D18S51,15,0.166988416988417
D18S51,15.2,0.00048262548262548264
D18S51,16,0.14816602316602318
D18S51,16.2,0.00048262548262548264
D18S51,17,0.13320463320463322
D18S51,18,0.08783783783783784
D18S51,19,0.061293436293436296
D18S51,20,0.03571428571428571
D18S51,21,0.009652509652509652
D18S51,21.2,0.00048262548262548264
D18S51,22,0.008687258687258687
D18S51,23,0.0019305019305019305
D18S51,24,0.0009652509652509653
D18S51,28,0.00048262548262548264
D19S433,9,0.00048262548262548264
D19S433,10,0.004343629343629344
D19S433,11,0.026061776061776062
D19S433,12,0.0834942084942085
D19S433,12.2,0.017857142857142856
D19S433,13,0.2471042471042471
D19S433,13.2,0.03185328185328185
D19S433,14,0.30405405405405406
D19S433,14.2,0.05115830115830116
D19S433,15,0.11776061776061776
D19S433,15.2,0.05694980694980695
D19S433,16,0.027992277992277992
D19S433,16.2,0.023166023166023165
