marker,allele,frequency
D1S1656,8,0.00298474
D1S1656,9,0.000994915
D1S1656,10,0.00364802
D1S1656,11,0.0695335
D1S1656,12,0.0475348
D1S1656,13,0.0993809
D1S1656,14,0.102145
D1S1656,15,0.263542
D1S1656,15.3,0.00773823
D1S1656,16,0.2086
D1S1656,16.3,0.0145921
D1S1656,17,0.0822463
D1S1656,17.3,0.0584789
D1S1656,18,0.0127128
D1S1656,18.3,0.0202299
D1S1656,19,0.00276365
D1S1656,19.3,0.00265311
D1S1656,20,0.000221092
D2S1338,14,0.000773823
D2S1338,15,0.000110546
D2S1338,16,0.0257572
D2S1338,17,0.114857
D2S1338,18,0.0845678
D2S1338,19,0.199978
D2S1338,20,0.122927
D2S1338,21,0.0463188
D2S1338,22,0.0449923
D2S1338,23,0.168693
D2S1338,24,0.132876
D2S1338,25,0.0499668
D2S1338,26,0.00674331
D2S1338,27,0.00132655
D2S1338,28,0.000110546
D2S441,8,0.000221092
D2S441,8.1,0.000110546
D2S441,9,0.00254256
D2S441,9.1,0.00917533
D2S441,10,0.207937
D2S441,10.1,0.000884369
D2S441,11,0.302786
D2S441,11.1,0.000110546
D2S441,11.3,0.141499
D2S441,12,0.135198
D2S441,12.3,0.00265311
D2S441,13,0.0151448
D2S441,13.3,0.000331638
D2S441,14,0.163608
D2S441,14.1,0.000110546
D2S441,15,0.0160292
D2S441,16,0.00165819
D2S1360,18,0.00083612
D2S1360,19,0.00585284
D2S1360,20,0.106187
D2S1360,21,0.0756689
D2S1360,22,0.293896
D2S1360,23,0.156355
D2S1360,24,0.0790134
D2S1360,25,0.0861204
D2S1360,26,0.0852843
D2S1360,27,0.0614548
D2S1360,28,0.0296823
D2S1360,29,0.0117057
D2S1360,30,0.0062709
D2S1360,30.1,0.00041806
D2S1360,31,0.00083612
D2S1360,32,0.00041806
D3S1358,11,0.000221092
D3S1358,12,0.00055273
D3S1358,13,0.0043113
D3S1358,14,0.0421181
D3S1358,15,0.286757
D3S1358,15.2,0.000110546
D3S1358,16,0.343909
D3S1358,16.2,0.000110546
D3S1358,17,0.241101
D3S1358,18,0.0725182
D3S1358,19,0.00784877
D3S1358,20,0.000442184
D3S1744,13,0.00322928
D3S1744,14,0.103875
D3S1744,15,0.0688913
D3S1744,16,0.110872
D3S1744,17,0.301399
D3S1744,18,0.200215
D3S1744,19,0.149085
