marker,allele,frequency
D1S1656,8,0.00105841
D1S1656,9,0.000343269
D1S1656,10,0.00317524
D1S1656,11,0.0768351
D1S1656,12,0.101722
D1S1656,13,0.0780937
D1S1656,13.3,0.000143029
D1S1656,14,0.103553
D1S1656,14.3,0.00317524
D1S1656,15,0.173122
D1S1656,15.2,5.72115e-05
D1S1656,15.3,0.0462269
D1S1656,16,0.146519
D1S1656,16.1,8.58173e-05
D1S1656,16.3,0.0449969
D1S1656,17,0.0571257
D1S1656,17.1,0.00020024
D1S1656,17.3,0.105469
D1S1656,18,0.00635048
D1S1656,18.3,0.0423937
D1S1656,19,0.00094399
D1S1656,19.3,0.00792379
D1S1656,20,5.72115e-05
D1S1656,20.3,0.000429086
D2S1338,12,5.72246e-05
D2S1338,13,0.000143062
D2S1338,14,0.00037196
D2S1338,15,0.000658083
D2S1338,16,0.040515
D2S1338,17,0.18392
D2S1338,18,0.0816309
D2S1338,19,0.138484
D2S1338,20,0.133877
D2S1338,21,0.0430329
D2S1338,22,0.0425751
D2S1338,23,0.120258
D2S1338,23.2,0.000114449
D2S1338,24,0.110558
D2S1338,25,0.0848355
D2S1338,26,0.0165951
D2S1338,27,0.0020887
D2S1338,28,0.000257511
D2S1338,29,2.86123e-05
D2S441,8,0.000600721
D2S441,8.1,2.86058e-05
D2S441,9,0.00168774
D2S441,9.1,0.00246009
D2S441,10,0.184021
D2S441,10.1,0.000228846
D2S441,10.3,8.58173e-05
D2S441,11,0.329023
D2S441,11.1,8.58173e-05
D2S441,11.3,0.0789519
D2S441,12,0.0752903
D2S441,12.3,0.00260312
D2S441,13,0.0263459
D2S441,13.3,0.000657932
D2S441,14,0.257223
D2S441,14.1,5.72115e-05
D2S441,14.3,0.000143029
D2S441,15,0.0369872
D2S441,15.3,2.86058e-05
D2S441,16,0.0034613
D2S441,17,2.86058e-05
D2S1360,18,0.000705882
D2S1360,19,0.00588235
D2S1360,20,0.0931765
D2S1360,21,0.0701176
D2S1360,21.1,0.000235294
D2S1360,22,0.3
D2S1360,23,0.155294
D2S1360,24,0.0821176
D2S1360,25,0.0927059
D2S1360,26,0.0854118
D2S1360,27,0.0642353
D2S1360,28,0.0291765
D2S1360,29,0.012
D2S1360,30,0.00705882
D2S1360,30.1,0.000235294
D2S1360,31,0.00117647
D2S1360,32,0.000470588
D3S1358,9,0.000143045
D3S1358,10,8.58271e-05
D3S1358,11,0.000972707
D3S1358,12,0.000743835
D3S1358,13,0.00357613
